# RDT Density Profile for M = 1.4 M_sun
# EOS: SLy4, α = 0.3
# M_total = 1.400000 M_sun
# R_total = 13.638666 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
6.095588e+00 3.130094e+34 2.466080e-01 4.147799e+14
6.122918e+00 3.116514e+34 2.496528e-01 4.140519e+14
6.150248e+00 3.102904e+34 2.527185e-01 4.133204e+14
6.177578e+00 3.089264e+34 2.558051e-01 4.125853e+14
6.204908e+00 3.075596e+34 2.589126e-01 4.118466e+14
6.232238e+00 3.061898e+34 2.620409e-01 4.111043e+14
6.259568e+00 3.048172e+34 2.651901e-01 4.103584e+14
6.286898e+00 3.034418e+34 2.683601e-01 4.096089e+14
6.314228e+00 3.020636e+34 2.715508e-01 4.088558e+14
6.341558e+00 3.006827e+34 2.747623e-01 4.080991e+14
6.368888e+00 2.992991e+34 2.779945e-01 4.073387e+14
6.396218e+00 2.979129e+34 2.812475e-01 4.065747e+14
6.423548e+00 2.965240e+34 2.845210e-01 4.058071e+14
6.450878e+00 2.951325e+34 2.878152e-01 4.050358e+14
6.478208e+00 2.937386e+34 2.911300e-01 4.042608e+14
6.505538e+00 2.923421e+34 2.944653e-01 4.034822e+14
6.532868e+00 2.909432e+34 2.978212e-01 4.026999e+14
6.560198e+00 2.895418e+34 3.011975e-01 4.019140e+14
6.587528e+00 2.881381e+34 3.045942e-01 4.011243e+14
6.614858e+00 2.867321e+34 3.080113e-01 4.003310e+14
6.642188e+00 2.853237e+34 3.114488e-01 3.995339e+14
6.669518e+00 2.839131e+34 3.149065e-01 3.987331e+14
6.696848e+00 2.825003e+34 3.183845e-01 3.979286e+14
6.724178e+00 2.810853e+34 3.218827e-01 3.971204e+14
6.751508e+00 2.796681e+34 3.254010e-01 3.963085e+14
6.778838e+00 2.782489e+34 3.289394e-01 3.954928e+14
6.806168e+00 2.768276e+34 3.324979e-01 3.946733e+14
6.833498e+00 2.754042e+34 3.360763e-01 3.938501e+14
6.860828e+00 2.739789e+34 3.396747e-01 3.930230e+14
6.888158e+00 2.725517e+34 3.432929e-01 3.921923e+14
6.915488e+00 2.711226e+34 3.469308e-01 3.913577e+14
6.942818e+00 2.696916e+34 3.505886e-01 3.905193e+14
6.970148e+00 2.682588e+34 3.542660e-01 3.896771e+14
6.997478e+00 2.668242e+34 3.579630e-01 3.888311e+14
7.024808e+00 2.653879e+34 3.616795e-01 3.879812e+14
7.052138e+00 2.639499e+34 3.654155e-01 3.871275e+14
7.079468e+00 2.625103e+34 3.691709e-01 3.862699e+14
7.106798e+00 2.610690e+34 3.729456e-01 3.854085e+14
7.134128e+00 2.596262e+34 3.767395e-01 3.845432e+14
