# GR Density Profile for M = 1.4 M_sun
# EOS: SLy4
# M_total = 1.400000 M_sun
# R_total = 13.373536 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
6.700667e+00 3.330316e+34 3.585949e-01 4.252938e+14
6.727466e+00 3.309166e+34 3.623075e-01 4.242020e+14
6.754265e+00 3.288027e+34 3.660385e-01 4.231064e+14
6.781063e+00 3.266902e+34 3.697876e-01 4.220071e+14
6.807862e+00 3.245790e+34 3.735548e-01 4.209042e+14
6.834661e+00 3.224693e+34 3.773400e-01 4.197976e+14
6.861459e+00 3.203611e+34 3.811431e-01 4.186873e+14
6.888258e+00 3.182546e+34 3.849639e-01 4.175734e+14
6.915057e+00 3.161497e+34 3.888025e-01 4.164559e+14
6.941855e+00 3.140467e+34 3.926587e-01 4.153347e+14
6.968654e+00 3.119456e+34 3.965323e-01 4.142098e+14
6.995453e+00 3.098464e+34 4.004234e-01 4.130814e+14
7.022251e+00 3.077493e+34 4.043317e-01 4.119493e+14
7.049050e+00 3.056543e+34 4.082572e-01 4.108136e+14
7.075849e+00 3.035616e+34 4.121998e-01 4.096743e+14
7.102647e+00 3.014712e+34 4.161594e-01 4.085314e+14
7.129446e+00 2.993831e+34 4.201358e-01 4.073849e+14
7.156245e+00 2.972975e+34 4.241289e-01 4.062349e+14
7.183043e+00 2.952145e+34 4.281387e-01 4.050813e+14
7.209842e+00 2.931341e+34 4.321650e-01 4.039241e+14
7.236641e+00 2.910565e+34 4.362076e-01 4.027634e+14
7.263439e+00 2.889816e+34 4.402666e-01 4.015991e+14
7.290238e+00 2.869096e+34 4.443417e-01 4.004313e+14
7.317037e+00 2.848406e+34 4.484329e-01 3.992599e+14
7.343835e+00 2.827746e+34 4.525399e-01 3.980850e+14
7.370634e+00 2.807117e+34 4.566628e-01 3.969067e+14
7.397433e+00 2.786521e+34 4.608013e-01 3.957248e+14
7.424231e+00 2.765957e+34 4.649553e-01 3.945394e+14
7.451030e+00 2.745427e+34 4.691248e-01 3.933505e+14
7.477829e+00 2.724931e+34 4.733095e-01 3.921581e+14
7.504627e+00 2.704471e+34 4.775094e-01 3.909623e+14
7.531426e+00 2.684047e+34 4.817242e-01 3.897630e+14
7.558225e+00 2.663659e+34 4.859540e-01 3.885602e+14
7.585023e+00 2.643309e+34 4.901985e-01 3.873540e+14
7.611822e+00 2.622998e+34 4.944576e-01 3.861443e+14
7.638621e+00 2.602725e+34 4.987311e-01 3.849312e+14
7.665419e+00 2.582493e+34 5.030190e-01 3.837147e+14
7.692218e+00 2.562301e+34 5.073211e-01 3.824947e+14
7.719017e+00 2.542150e+34 5.116372e-01 3.812714e+14
7.745815e+00 2.522042e+34 5.159671e-01 3.800446e+14
7.772614e+00 2.501977e+34 5.203109e-01 3.788144e+14
7.799413e+00 2.481955e+34 5.246682e-01 3.775809e+14
7.826211e+00 2.461978e+34 5.290389e-01 3.763440e+14
7.853010e+00 2.442046e+34 5.334230e-01 3.751037e+14
7.879809e+00 2.422161e+34 5.378202e-01 3.738600e+14
7.906608e+00 2.402321e+34 5.422303e-01 3.726130e+14
7.933406e+00 2.382530e+34 5.466533e-01 3.713626e+14
7.960205e+00 2.362786e+34 5.510890e-01 3.701089e+14
7.987004e+00 2.343091e+34 5.555372e-01 3.688519e+14
8.013802e+00 2.323446e+34 5.599977e-01 3.675915e+14
8.040601e+00 2.303852e+34 5.644705e-01 3.663278e+14
8.067400e+00 2.284308e+34 5.689552e-01 3.650608e+14
8.094198e+00 2.264816e+34 5.734518e-01 3.637906e+14
8.120997e+00 2.245377e+34 5.779601e-01 3.625170e+14
8.147796e+00 2.225990e+34 5.824800e-01 3.612401e+14
8.174594e+00 2.206658e+34 5.870112e-01 3.599600e+14
8.201393e+00 2.187380e+34 5.915536e-01 3.586766e+14
8.228192e+00 2.168158e+34 5.961070e-01 3.573899e+14
8.254990e+00 2.148991e+34 6.006712e-01 3.561000e+14
8.281789e+00 2.129881e+34 6.052461e-01 3.548069e+14
8.308588e+00 2.110829e+34 6.098315e-01 3.535105e+14
8.335386e+00 2.091834e+34 6.144272e-01 3.522109e+14
8.362185e+00 2.072898e+34 6.190331e-01 3.509080e+14
8.388984e+00 2.054022e+34 6.236489e-01 3.496020e+14
8.415782e+00 2.035205e+34 6.282745e-01 3.482927e+14
8.442581e+00 2.016450e+34 6.329096e-01 3.469803e+14
8.469380e+00 1.997755e+34 6.375542e-01 3.456646e+14
8.496178e+00 1.979122e+34 6.422080e-01 3.443458e+14
8.522977e+00 1.960552e+34 6.468708e-01 3.430238e+14
8.549776e+00 1.942045e+34 6.515424e-01 3.416987e+14
8.576574e+00 1.923603e+34 6.562227e-01 3.403704e+14
